participant_id,age,industry,role,company_size,years_experience,work_location,primary_device,hours_worked_per_day,current_auth_method,daily_auth_count_current,avg_auth_time_seconds_current,zta_policy_tested,zta_auth_count_per_day,zta_interruptions_per_session,avg_auth_time_seconds,baseline_task_completion_seconds,actual_task_completion_seconds,productivity_impact_percent,time_spent_authenticating_daily_minutes,estimated_productivity_loss_minutes,frustration_score,perceived_security_score,willingness_to_use_score,workflow_disruption_score,overall_satisfaction_score,would_circumvent_security,authentication_failures,reported_errors_during_task,preferred_auth_frequency_hours,preferred_auth_methods,acceptable_for_production,felt_secure,would_recommend
P069,53,Education,Support,Large,32,Remote,Tablet,7.5,Hardware Token,7,28,Aggressive ZTA,53,42,15,300,921,100.0,13.25,450.28,9.75,9.08,2.93,7.18,1.27,No,0,6,24.0,"Biometric, Email Link, SSO",No,Yes,No
P069,53,Education,Support,Large,32,Remote,Tablet,7.5,Hardware Token,7,28,Traditional,7,1,28,300,348,16.0,3.27,72.05,2.46,5.41,7.02,3.01,4.24,No,0,0,4.0,"Email Link, Password, SSO",No,No,Yes
P070,64,Insurance,Developer,Small,36,Hybrid,Mobile,7.1,Password+SMS,2,5,Aggressive ZTA,59,28,16,300,737,100.0,15.73,423.09,7.72,9.24,1.76,8.06,1.3,Yes,1,0,2.0,"Password, Hardware Token",No,Yes,No
P070,64,Insurance,Developer,Small,36,Hybrid,Mobile,7.1,Password+SMS,2,5,Traditional,2,3,5,300,309,3.0,0.17,12.69,2.6,5.66,7.16,3.98,4.06,No,0,0,2.0,"SSO, Password",No,No,Yes
P071,52,Banking,Developer,Large,3,Hybrid,Laptop,9.7,Password+SMS,8,18,Aggressive ZTA,36,47,17,300,1109,100.0,10.2,581.06,7.81,9.85,3.05,7.84,1.81,Yes,0,0,24.0,"Biometric, Hardware Token",No,Yes,No
P072,59,Tech,Engineer,Enterprise,20,Remote,Mobile,8.2,Password+Email,6,12,Traditional,6,3,12,300,338,12.67,1.2,61.95,2.11,4.87,8.68,2.68,4.69,No,0,0,0.25,"Mobile App, SSO, Password",No,No,Yes
P073,36,Education,Engineer,Medium,11,Office,Mobile,9.4,Biometric,7,17,Traditional,7,2,17,300,323,7.67,1.98,43.21,2.76,5.57,7.31,2.78,4.33,No,0,0,0.25,Mobile App,No,No,Yes
P074,50,Education,Support,Small,3,Remote,Laptop,7.1,Password+Email,5,19,Traditional,5,3,19,300,357,19.0,1.58,80.7,3.73,4.02,7.83,3.56,3.64,No,0,0,8.0,"Hardware Token, Email Link",No,No,Yes
P074,50,Education,Support,Small,3,Remote,Laptop,7.1,Password+Email,5,19,Adaptive ZTA,12,9,9,300,392,30.67,1.8,130.25,3.44,7.33,6.83,3.9,4.21,No,0,0,1.0,Email Link,No,Yes,No
P075,62,Insurance,Analyst,Large,9,Hybrid,Tablet,9.4,SSO,2,17,Biometric ZTA,33,8,3,300,323,7.67,1.65,43.3,2.96,8.89,7.6,1.94,5.4,No,1,1,1.0,"Email Link, SSO, Hardware Token",No,Yes,Yes
P075,62,Insurance,Analyst,Large,9,Hybrid,Tablet,9.4,SSO,2,17,Aggressive ZTA,40,37,12,300,749,100.0,8.0,564.73,8.1,9.86,1.6,9.99,1.0,No,0,4,8.0,"Email Link, Hardware Token",No,Yes,No
P076,50,Government,Admin,Enterprise,26,Remote,Desktop,8.9,LDAP,5,26,Adaptive ZTA,10,11,11,300,405,35.0,1.83,186.9,4.35,8.2,7.75,4.6,4.25,No,0,1,24.0,"Email Link, Password",No,Yes,Yes
P077,60,Healthcare,Admin,Large,23,Office,Tablet,9.9,Password+Email,7,24,Biometric ZTA,20,2,4,300,302,0.67,1.33,3.96,3.53,8.04,8.74,2.73,5.13,No,1,0,2.0,"Email Link, Password",No,Yes,Yes
P077,60,Healthcare,Admin,Large,23,Office,Tablet,9.9,Password+Email,7,24,Traditional,7,3,24,300,384,28.0,2.8,166.33,2.3,6.0,7.97,2.59,4.77,No,0,0,24.0,"Hardware Token, Mobile App, Password",No,No,Yes
P078,43,Insurance,Analyst,Large,12,Remote,Mobile,7.2,Password+SMS,2,19,Traditional,2,1,19,300,320,6.67,0.63,28.81,3.3,5.35,7.33,3.97,3.85,No,0,0,4.0,Mobile App,No,No,Yes
P079,57,Manufacturing,Specialist,Medium,26,Remote,Tablet,7.1,Hardware Token,3,10,Biometric ZTA,38,5,5,300,305,1.67,3.17,7.09,4.11,7.41,9.26,3.43,4.78,No,0,0,24.0,"Hardware Token, Mobile App, Password",No,Yes,Yes
P080,34,Insurance,Admin,Medium,8,Remote,Tablet,8.8,Biometric,7,15,Adaptive ZTA,10,9,6,300,342,14.0,1.0,73.59,3.94,7.48,6.35,4.12,3.94,No,0,0,2.0,"Hardware Token, Password, SSO",No,Yes,No
P080,34,Insurance,Admin,Medium,8,Remote,Tablet,8.8,Biometric,7,15,Aggressive ZTA,43,30,15,300,770,100.0,10.75,525.66,8.61,9.84,3.79,7.52,1.87,No,0,2,0.5,"SSO, Password",No,Yes,No
P081,25,Education,Developer,Large,2,Remote,Tablet,9.1,LDAP,5,22,Biometric ZTA,25,2,2,300,298,-0.67,0.83,-3.62,2.88,7.55,8.61,1.5,5.45,No,1,0,4.0,"Biometric, Password, Email Link",No,Yes,Yes
P081,25,Education,Developer,Large,2,Remote,Tablet,9.1,LDAP,5,22,Aggressive ZTA,38,49,16,300,1087,100.0,10.13,543.25,8.63,9.51,3.28,8.32,1.46,No,0,6,8.0,"Hardware Token, Mobile App, Biometric",No,Yes,No
P082,50,Government,Executive,Enterprise,3,Home,Desktop,9.4,Password+SMS,8,8,Biometric ZTA,39,3,3,300,302,0.67,1.95,3.77,4.42,8.14,8.6,2.79,4.88,No,1,0,8.0,"Mobile App, Password",No,Yes,Yes
P082,50,Government,Executive,Enterprise,3,Home,Desktop,9.4,Password+SMS,8,8,Traditional,8,2,8,300,328,9.33,1.07,52.82,3.97,5.36,7.19,3.93,3.66,No,0,0,1.0,"Hardware Token, Email Link, Password",No,No,Yes
P083,31,Education,Analyst,Large,7,Hybrid,Tablet,8.1,Password+SMS,3,23,Traditional,3,2,23,300,358,19.33,1.15,94.26,3.5,5.39,8.75,2.91,4.43,No,0,0,4.0,Email Link,No,No,Yes
P084,27,Insurance,Executive,Enterprise,5,Home,Tablet,7.8,Password+SMS,3,18,Adaptive ZTA,10,12,10,300,403,34.33,1.67,160.8,3.14,8.25,8.51,3.05,5.14,No,0,0,2.0,SSO,No,Yes,Yes
P084,27,Insurance,Executive,Enterprise,5,Home,Tablet,7.8,Password+SMS,3,18,Biometric ZTA,26,7,3,300,320,6.67,1.3,31.22,2.48,8.87,7.82,2.96,5.31,No,0,1,1.0,"Email Link, Hardware Token, Biometric",No,Yes,Yes
P085,47,Government,Analyst,Medium,3,Home,Tablet,7.2,Hardware Token,2,5,Biometric ZTA,20,2,4,300,295,-1.67,1.33,-7.23,4.96,7.84,7.4,1.21,4.77,No,0,0,8.0,Biometric,No,Yes,Yes
P086,42,Education,Support,Small,5,Office,Laptop,8.8,Hardware Token,7,9,Biometric ZTA,31,7,3,300,341,13.67,1.55,72.41,4.24,8.84,8.85,2.33,5.28,No,0,0,0.25,Biometric,No,Yes,Yes
P087,59,Manufacturing,Executive,Enterprise,21,Hybrid,Laptop,7.7,LDAP,3,12,Traditional,3,2,12,300,317,5.67,0.6,26.33,3.04,5.02,8.5,2.59,4.47,No,0,0,2.0,"Biometric, Hardware Token",No,No,Yes
P087,59,Manufacturing,Executive,Enterprise,21,Hybrid,Laptop,7.7,LDAP,3,12,Adaptive ZTA,15,6,5,300,333,11.0,1.25,51.11,5.8,7.26,8.58,4.71,3.83,No,0,0,24.0,"Biometric, Email Link",No,Yes,Yes
P088,59,Healthcare,Developer,Medium,3,Hybrid,Tablet,8.3,Password-only,8,17,Traditional,8,3,17,300,365,21.67,2.27,107.52,3.23,4.55,7.62,3.02,3.98,No,0,0,4.0,"SSO, Password",No,No,Yes
P088,59,Healthcare,Developer,Medium,3,Hybrid,Tablet,8.3,Password-only,8,17,Adaptive ZTA,9,9,11,300,394,31.33,1.65,155.49,3.17,7.17,7.3,4.36,4.24,No,0,0,8.0,"Email Link, Hardware Token, Biometric",No,Yes,Yes
P089,22,Tech,Developer,Medium,1,Hybrid,Desktop,8.1,Biometric,6,30,Traditional,6,2,30,300,367,22.33,3.0,108.75,2.54,4.13,8.42,3.15,4.21,No,0,0,2.0,"Mobile App, Biometric, SSO",No,No,Yes
P089,22,Tech,Developer,Medium,1,Hybrid,Desktop,8.1,Biometric,6,30,Biometric ZTA,38,3,4,300,302,0.67,2.53,3.25,2.77,7.21,8.72,3.17,5.0,No,0,0,0.25,Hardware Token,No,Yes,Yes
P090,24,Insurance,Executive,Medium,1,Remote,Desktop,8.0,Password+Email,8,6,Adaptive ZTA,9,10,6,300,372,24.0,0.9,114.7,5.02,7.11,6.67,4.55,3.55,No,0,0,0.25,"Mobile App, Email Link",No,Yes,No
P090,24,Insurance,Executive,Medium,1,Remote,Desktop,8.0,Password+Email,8,6,Aggressive ZTA,40,27,16,300,741,100.0,10.67,477.92,7.02,8.4,2.69,7.91,1.54,Yes,1,3,4.0,"Hardware Token, Password",No,Yes,No
P091,37,Tech,Developer,Enterprise,1,Office,Mobile,7.0,Password+Email,6,16,Adaptive ZTA,11,8,11,300,399,33.0,2.02,138.69,5.88,8.95,6.43,3.84,3.91,No,0,0,24.0,"SSO, Mobile App, Email Link",No,Yes,No
P091,37,Tech,Developer,Enterprise,1,Office,Mobile,7.0,Password+Email,6,16,Traditional,6,3,16,300,333,11.0,1.6,46.23,3.16,5.01,8.27,2.79,4.33,No,0,0,8.0,Hardware Token,No,No,Yes
P092,40,Government,Executive,Enterprise,13,Hybrid,Mobile,8.4,Hardware Token,8,28,Traditional,8,1,28,300,316,5.33,3.73,26.75,3.56,5.17,7.31,2.33,4.15,No,0,0,2.0,Password,No,No,Yes
P093,44,Retail,Specialist,Medium,9,Home,Mobile,9.5,LDAP,2,7,Aggressive ZTA,56,35,10,300,635,100.0,9.33,568.75,9.13,9.94,2.19,7.15,1.46,No,0,1,2.0,"Password, Email Link",No,Yes,No
P094,37,Healthcare,Specialist,Small,5,Home,Desktop,7.6,Password-only,2,6,Adaptive ZTA,9,9,6,300,335,11.67,0.9,53.16,5.99,7.4,7.94,5.43,3.48,No,0,0,0.25,SSO,No,Yes,Yes
P094,37,Healthcare,Specialist,Small,5,Home,Desktop,7.6,Password-only,2,6,Biometric ZTA,21,3,5,300,320,6.67,1.75,30.38,3.49,7.77,8.28,2.06,5.12,No,1,0,1.0,"Hardware Token, Biometric",No,Yes,Yes
P095,61,Retail,Support,Large,36,Hybrid,Tablet,7.4,Password+SMS,2,7,Aggressive ZTA,50,50,16,300,1081,100.0,13.33,444.7,9.97,9.56,2.08,8.63,1.0,Yes,1,5,1.0,Biometric,No,Yes,No
P096,42,Retail,Developer,Enterprise,9,Hybrid,Desktop,9.9,Password-only,8,20,Aggressive ZTA,51,32,12,300,698,100.0,10.2,595.32,9.45,9.83,1.17,9.99,1.0,No,1,3,24.0,Hardware Token,No,Yes,No
P097,37,Education,Executive,Enterprise,1,Home,Desktop,9.5,Hardware Token,7,16,Adaptive ZTA,15,5,6,300,313,4.33,1.5,24.73,3.7,7.44,7.58,3.0,4.58,No,0,0,1.0,"Hardware Token, Mobile App, Biometric",No,Yes,Yes
P097,37,Education,Executive,Enterprise,1,Home,Desktop,9.5,Hardware Token,7,16,Traditional,7,1,16,300,305,1.67,1.87,9.51,3.17,5.83,8.55,3.69,4.38,No,0,0,1.0,"Email Link, SSO, Biometric",No,No,Yes
P098,43,Government,Executive,Small,6,Remote,Mobile,7.5,Hardware Token,5,30,Aggressive ZTA,48,30,14,300,719,100.0,11.2,451.36,9.2,8.59,1.53,7.01,1.0,Yes,1,4,24.0,"Biometric, Hardware Token, Mobile App",No,Yes,No
P098,43,Government,Executive,Small,6,Remote,Mobile,7.5,Hardware Token,5,30,Adaptive ZTA,11,6,12,300,361,20.33,2.2,91.78,3.99,7.16,7.04,3.96,4.06,No,0,0,2.0,Mobile App,No,Yes,Yes
P099,35,Retail,Admin,Medium,13,Office,Tablet,8.3,Password-only,7,5,Aggressive ZTA,45,37,13,300,795,100.0,9.75,498.88,8.13,9.66,3.37,8.73,1.54,Yes,0,1,2.0,Biometric,No,Yes,No
P099,35,Retail,Admin,Medium,13,Office,Tablet,8.3,Password-only,7,5,Biometric ZTA,29,2,4,300,304,1.33,1.93,6.65,4.85,7.15,7.51,2.13,4.42,No,0,0,1.0,"Password, SSO, Biometric",No,Yes,Yes
P100,49,Tech,Engineer,Medium,4,Remote,Mobile,9.0,SSO,3,11,Aggressive ZTA,31,37,17,300,944,100.0,8.78,538.91,9.52,8.31,2.08,8.28,1.0,No,1,5,0.5,Biometric,No,Yes,No
P100,49,Tech,Engineer,Medium,4,Remote,Mobile,9.0,SSO,3,11,Traditional,3,1,11,300,301,0.33,0.55,1.8,3.28,5.95,7.95,2.23,4.6,No,0,0,2.0,"Mobile App, Biometric, SSO",No,No,Yes
P101,33,Education,Engineer,Medium,8,Remote,Mobile,7.7,Password-only,4,19,Traditional,4,3,19,300,343,14.33,1.27,66.04,2.17,4.69,8.08,3.94,4.16,No,0,0,24.0,"Password, SSO",No,No,Yes
P101,33,Education,Engineer,Medium,8,Remote,Mobile,7.7,Password-only,4,19,Biometric ZTA,37,7,5,300,351,17.0,3.08,78.32,4.64,7.95,7.24,3.71,4.21,No,0,0,0.25,"Hardware Token, Email Link",No,Yes,Yes
P102,35,Retail,Manager,Small,2,Home,Mobile,8.0,Hardware Token,5,11,Traditional,5,2,11,300,337,12.33,0.92,58.9,2.79,4.65,7.55,2.92,4.12,No,0,0,0.25,"Hardware Token, Email Link",No,No,Yes
P103,58,Healthcare,Admin,Large,7,Hybrid,Tablet,7.8,LDAP,4,22,Biometric ZTA,25,4,5,300,309,3.0,2.08,14.03,3.85,8.36,8.21,2.19,5.13,No,0,0,0.25,"SSO, Mobile App, Password",No,Yes,Yes
P103,58,Healthcare,Admin,Large,7,Hybrid,Tablet,7.8,LDAP,4,22,Traditional,4,1,22,300,323,7.67,1.47,35.85,3.63,4.61,7.56,2.98,3.89,No,0,0,0.5,"Email Link, SSO",No,No,Yes
P104,42,Government,Engineer,Large,3,Remote,Tablet,9.3,Password+Email,5,11,Traditional,5,1,11,300,295,-1.67,0.92,-9.28,2.62,5.01,7.27,3.7,3.99,No,0,0,0.5,Biometric,No,No,Yes
P104,42,Government,Engineer,Large,3,Remote,Tablet,9.3,Password+Email,5,11,Adaptive ZTA,11,5,12,300,343,14.33,2.2,79.79,5.75,8.41,6.82,5.47,3.5,No,0,0,8.0,Hardware Token,No,Yes,No
P105,45,Insurance,Specialist,Medium,16,Hybrid,Desktop,9.5,Biometric,6,16,Traditional,6,1,16,300,320,6.67,1.6,38.05,2.1,5.71,8.56,2.43,4.93,No,0,0,8.0,Mobile App,No,No,Yes
P105,45,Insurance,Specialist,Medium,16,Hybrid,Desktop,9.5,Biometric,6,16,Aggressive ZTA,50,38,16,300,889,100.0,13.33,570.78,9.59,9.93,3.05,8.42,1.24,No,2,1,24.0,Hardware Token,No,Yes,No
P106,38,Government,Support,Medium,13,Hybrid,Desktop,8.4,LDAP,4,19,Traditional,4,3,19,300,360,20.0,1.27,100.8,3.12,5.19,7.57,3.37,4.07,No,0,0,1.0,"Email Link, Mobile App",No,No,Yes
P106,38,Government,Support,Medium,13,Hybrid,Desktop,8.4,LDAP,4,19,Biometric ZTA,28,4,4,300,308,2.67,1.87,13.44,2.45,8.53,9.7,3.42,5.59,No,1,0,8.0,Email Link,No,Yes,Yes
P107,23,Insurance,Support,Medium,2,Office,Desktop,8.0,Password+SMS,5,28,Biometric ZTA,31,6,4,300,314,4.67,2.07,22.48,4.52,8.75,7.54,1.29,5.12,No,1,0,8.0,"Hardware Token, Mobile App, Biometric",No,Yes,Yes
P108,36,Education,Analyst,Large,5,Hybrid,Mobile,8.8,Password+SMS,8,15,Traditional,8,1,15,300,335,11.67,2.0,61.3,3.17,5.89,7.14,3.78,4.02,No,0,0,4.0,"SSO, Biometric",No,No,Yes
P108,36,Education,Analyst,Large,5,Hybrid,Mobile,8.8,Password+SMS,8,15,Aggressive ZTA,57,29,10,300,582,94.0,9.5,493.88,8.03,9.97,3.68,9.96,1.42,No,0,1,2.0,"Email Link, Hardware Token",No,Yes,No
P109,42,Banking,Developer,Large,7,Home,Tablet,9.4,LDAP,8,10,Aggressive ZTA,49,38,18,300,991,100.0,14.7,561.34,8.21,9.93,2.15,7.11,1.69,No,0,2,1.0,"Hardware Token, Biometric, Password",No,Yes,No
P110,62,Retail,Analyst,Large,23,Remote,Mobile,7.5,SSO,3,8,Adaptive ZTA,12,12,10,300,427,42.33,2.0,190.53,5.66,8.99,7.03,5.7,3.66,No,0,1,0.5,"Biometric, Hardware Token",No,Yes,Yes
P111,36,Tech,Analyst,Large,10,Hybrid,Laptop,8.1,Biometric,3,8,Traditional,3,1,8,300,294,-2.0,0.4,-9.75,3.31,4.04,8.38,2.83,4.07,No,0,0,4.0,"SSO, Hardware Token",No,No,Yes
P111,36,Tech,Analyst,Large,10,Hybrid,Laptop,8.1,Biometric,3,8,Adaptive ZTA,11,5,9,300,351,17.0,1.65,82.88,4.98,8.32,6.81,4.82,3.83,No,0,0,24.0,Password,No,Yes,No
P112,61,Healthcare,Support,Small,7,Home,Mobile,9.5,Password+SMS,3,24,Adaptive ZTA,14,9,7,300,345,15.0,1.63,85.45,4.64,8.82,8.06,4.44,4.45,No,0,0,0.25,"Biometric, Email Link, SSO",No,Yes,Yes
P113,31,Healthcare,Admin,Large,2,Remote,Mobile,7.8,SSO,7,12,Traditional,7,1,12,300,294,-2.0,1.4,-9.35,3.7,4.72,8.35,2.85,4.13,No,0,0,24.0,Biometric,No,No,Yes
P114,30,Tech,Executive,Medium,8,Office,Mobile,9.4,Biometric,4,28,Traditional,4,2,28,300,361,20.33,1.87,115.23,3.92,4.54,7.77,3.7,3.67,No,0,0,0.25,Email Link,No,No,Yes
P115,25,Tech,Admin,Medium,4,Remote,Desktop,8.8,LDAP,6,26,Traditional,6,3,26,300,366,22.0,2.6,116.61,2.97,4.98,8.78,2.88,4.48,No,0,0,8.0,"Biometric, Password",No,No,Yes
P115,25,Tech,Admin,Medium,4,Remote,Desktop,8.8,LDAP,6,26,Adaptive ZTA,11,10,6,300,367,22.33,1.1,118.38,4.99,7.5,7.04,5.03,3.63,No,0,1,24.0,"Password, Biometric, Email Link",No,Yes,Yes
P116,63,Tech,Specialist,Enterprise,11,Hybrid,Desktop,8.0,Password-only,8,20,Traditional,8,1,20,300,335,11.67,2.67,55.95,3.29,4.81,7.47,2.92,4.02,No,0,0,24.0,"SSO, Mobile App",No,No,Yes
P116,63,Tech,Specialist,Enterprise,11,Hybrid,Desktop,8.0,Password-only,8,20,Adaptive ZTA,9,12,5,300,346,15.33,0.75,73.53,4.21,7.07,7.65,5.48,3.76,No,0,1,8.0,"SSO, Mobile App, Password",No,Yes,Yes
P117,25,Retail,Specialist,Medium,4,Remote,Laptop,7.3,Hardware Token,7,16,Traditional,7,2,16,300,334,11.33,1.87,49.59,3.66,5.93,7.58,3.04,4.2,No,0,0,0.5,"Hardware Token, SSO",No,No,Yes
P118,28,Government,Analyst,Medium,7,Home,Mobile,7.3,Password+SMS,3,19,Traditional,3,3,19,300,374,24.67,0.95,108.38,2.25,5.78,7.91,3.18,4.57,No,0,0,0.25,"Email Link, Biometric, SSO",No,No,Yes
P118,28,Government,Analyst,Medium,7,Home,Mobile,7.3,Password+SMS,3,19,Adaptive ZTA,15,7,7,300,337,12.33,1.75,54.19,3.31,8.32,7.82,3.97,4.71,No,0,1,4.0,"Hardware Token, Mobile App, SSO",No,Yes,Yes
P119,43,Government,Specialist,Enterprise,5,Hybrid,Mobile,9.1,Password+SMS,6,27,Aggressive ZTA,36,44,19,300,1134,100.0,11.4,548.14,9.06,9.84,1.4,9.13,1.0,Yes,1,1,8.0,Mobile App,No,Yes,No
P120,57,Insurance,Engineer,Large,35,Office,Laptop,7.1,SSO,8,18,Traditional,8,3,18,300,337,12.33,2.4,52.36,2.4,5.5,7.32,2.57,4.46,No,0,0,24.0,Email Link,No,No,Yes
P121,40,Retail,Developer,Medium,15,Home,Tablet,7.7,Password-only,6,26,Traditional,6,2,26,300,358,19.33,2.6,89.47,3.91,5.95,7.63,3.1,4.14,No,0,0,0.5,"SSO, Hardware Token, Mobile App",No,No,Yes
P121,40,Retail,Developer,Medium,15,Home,Tablet,7.7,Password-only,6,26,Aggressive ZTA,54,43,16,300,1006,100.0,14.4,462.77,7.59,9.45,1.58,8.35,1.27,Yes,0,0,0.5,"Password, Biometric, SSO",No,Yes,No
P122,24,Manufacturing,Support,Large,1,Office,Mobile,8.4,Password+Email,6,13,Traditional,6,1,13,300,313,4.33,1.3,21.84,3.19,5.55,8.25,3.69,4.23,No,0,0,24.0,"Password, Mobile App, Biometric",No,No,Yes
P123,42,Retail,Manager,Large,17,Remote,Laptop,8.0,Password+Email,5,22,Adaptive ZTA,13,10,9,300,383,27.67,1.95,133.6,5.85,8.24,7.42,4.68,3.78,No,0,0,8.0,"SSO, Hardware Token",No,Yes,Yes
P124,63,Retail,Developer,Large,21,Remote,Mobile,8.6,Password+SMS,8,8,Traditional,8,2,8,300,328,9.33,1.07,48.28,3.61,4.89,7.09,3.8,3.64,No,0,0,4.0,Biometric,No,No,Yes
P124,63,Retail,Developer,Large,21,Remote,Mobile,8.6,Password+SMS,8,8,Adaptive ZTA,10,5,6,300,323,7.67,1.0,39.66,5.01,8.55,8.59,4.27,4.46,No,0,0,4.0,"Email Link, SSO, Biometric",No,Yes,Yes
P125,65,Tech,Developer,Large,22,Office,Desktop,9.4,Password-only,2,7,Aggressive ZTA,59,33,14,300,766,100.0,13.77,562.96,8.35,8.81,1.95,8.17,1.06,No,2,0,8.0,"Biometric, Password, Email Link",No,Yes,No
P126,26,Education,Admin,Medium,3,Remote,Tablet,8.2,Biometric,2,14,Biometric ZTA,25,6,3,300,306,2.0,1.25,9.82,4.24,8.59,9.55,1.88,5.5,No,1,0,8.0,"Email Link, Mobile App, Biometric",No,Yes,Yes
P127,57,Tech,Admin,Small,26,Hybrid,Desktop,9.2,Biometric,6,7,Aggressive ZTA,58,45,16,300,1009,100.0,15.47,554.69,7.48,8.44,3.5,7.58,1.72,No,2,6,24.0,Password,No,Yes,No
P127,57,Tech,Admin,Small,26,Hybrid,Desktop,9.2,Biometric,6,7,Biometric ZTA,34,7,2,300,312,4.0,1.13,22.19,4.02,7.5,7.59,2.74,4.58,No,1,1,0.5,"Email Link, Hardware Token, Biometric",No,Yes,Yes
P128,40,Healthcare,Analyst,Medium,15,Hybrid,Desktop,8.7,SSO,6,26,Adaptive ZTA,10,5,10,300,345,15.0,1.67,78.27,5.36,8.42,7.92,3.83,4.29,No,0,0,8.0,"Mobile App, SSO, Password",No,Yes,Yes
P128,40,Healthcare,Analyst,Medium,15,Hybrid,Desktop,8.7,SSO,6,26,Aggressive ZTA,44,36,20,300,1019,100.0,14.67,521.8,8.46,8.22,2.94,7.25,1.36,No,2,1,0.5,"Email Link, Biometric",No,Yes,No
P129,26,Banking,Developer,Enterprise,5,Home,Laptop,8.7,Password+SMS,8,23,Aggressive ZTA,42,32,20,300,957,100.0,14.0,519.29,9.2,8.58,2.39,8.53,1.0,Yes,0,4,8.0,Password,No,Yes,No
P129,26,Banking,Developer,Enterprise,5,Home,Laptop,8.7,Password+SMS,8,23,Biometric ZTA,25,8,3,300,332,10.67,1.25,55.39,2.48,8.13,8.7,3.62,5.18,No,1,0,1.0,Hardware Token,No,Yes,Yes
P130,53,Retail,Admin,Medium,15,Hybrid,Tablet,8.4,Password-only,7,11,Traditional,7,3,11,300,333,11.0,1.28,55.5,2.21,5.94,8.27,2.55,4.86,No,0,0,2.0,"SSO, Mobile App, Biometric",No,No,Yes
P130,53,Retail,Admin,Medium,15,Hybrid,Tablet,8.4,Password-only,7,11,Biometric ZTA,36,4,5,300,314,4.67,3.0,23.55,3.55,7.71,9.6,2.46,5.32,No,0,0,4.0,SSO,No,Yes,Yes
P131,32,Retail,Admin,Large,5,Home,Mobile,8.8,Password+Email,3,10,Aggressive ZTA,43,50,13,300,937,100.0,9.32,528.36,8.44,8.96,1.63,7.48,1.17,Yes,0,0,0.25,Password,No,Yes,No
P132,59,Tech,Manager,Large,3,Home,Mobile,9.8,Biometric,3,6,Traditional,3,3,6,300,316,5.33,0.3,31.26,3.89,4.43,8.21,2.94,3.95,No,0,0,0.5,"Password, Hardware Token",No,No,Yes
P132,59,Tech,Manager,Large,3,Home,Mobile,9.8,Biometric,3,6,Adaptive ZTA,10,9,7,300,364,21.33,1.17,125.02,5.77,8.19,6.21,4.13,3.62,No,0,0,0.25,Password,No,Yes,No
P133,54,Manufacturing,Manager,Large,12,Office,Laptop,7.3,Password+SMS,6,24,Traditional,6,3,24,300,379,26.33,2.4,115.02,3.04,4.74,7.09,3.06,3.93,No,0,0,24.0,"Mobile App, Password",No,No,Yes
P134,58,Healthcare,Engineer,Small,31,Hybrid,Tablet,7.8,LDAP,3,7,Traditional,3,3,7,300,334,11.33,0.35,52.86,2.24,4.01,8.31,3.38,4.18,No,0,0,1.0,Hardware Token,No,No,Yes
P135,49,Government,Support,Enterprise,14,Hybrid,Tablet,9.3,Biometric,4,24,Biometric ZTA,31,6,5,300,326,8.67,2.58,48.18,4.97,8.16,9.32,2.19,5.08,No,0,0,8.0,SSO,No,Yes,Yes
P135,49,Government,Support,Enterprise,14,Hybrid,Tablet,9.3,Biometric,4,24,Traditional,4,3,24,300,362,20.67,1.6,114.88,2.2,5.02,8.57,3.6,4.45,No,0,0,2.0,"Biometric, Email Link, Hardware Token",No,No,Yes
P136,52,Manufacturing,Admin,Small,8,Office,Tablet,9.8,SSO,2,24,Adaptive ZTA,8,7,12,300,392,30.67,1.6,180.17,3.03,8.7,8.79,4.55,4.98,No,0,0,24.0,"Password, Email Link, Hardware Token",No,Yes,Yes
P136,52,Manufacturing,Admin,Small,8,Office,Tablet,9.8,SSO,2,24,Biometric ZTA,39,3,2,300,309,3.0,1.3,17.63,2.72,7.0,7.47,3.99,4.44,No,1,0,8.0,"SSO, Password",No,Yes,Yes
P137,34,Banking,Admin,Enterprise,9,Hybrid,Mobile,9.9,SSO,7,22,Aggressive ZTA,60,31,15,300,770,100.0,15.0,593.39,8.72,8.52,2.22,7.32,1.17,No,2,2,0.25,"Mobile App, Password, Email Link",No,Yes,No
P137,34,Banking,Admin,Enterprise,9,Hybrid,Mobile,9.9,SSO,7,22,Adaptive ZTA,15,11,12,300,427,42.33,3.0,251.2,5.27,8.92,7.38,4.38,4.16,No,0,0,0.25,"Biometric, SSO",No,Yes,Yes
P138,62,Retail,Analyst,Enterprise,27,Office,Mobile,7.7,SSO,6,22,Biometric ZTA,30,2,3,300,316,5.33,1.5,24.78,2.94,7.44,8.72,1.55,5.42,No,1,0,8.0,Hardware Token,No,Yes,Yes
P139,37,Government,Analyst,Medium,8,Home,Laptop,7.4,LDAP,6,16,Biometric ZTA,39,2,2,300,314,4.67,1.3,20.61,3.11,7.63,9.69,3.64,5.14,No,1,0,0.5,"Mobile App, SSO, Hardware Token",No,Yes,Yes
P140,58,Tech,Developer,Large,28,Hybrid,Tablet,9.6,Password+SMS,6,6,Biometric ZTA,23,7,5,300,335,11.67,1.92,67.07,4.07,7.02,7.63,2.74,4.46,No,1,1,4.0,"Hardware Token, Password",No,Yes,Yes
